"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237660024494620770","18.81865","22.21451","16.72404","16.43035","25.28932","-5.11268E-05"
"1237660024494620813","18.44032","17.31879","16.90867","16.75457","16.68984","-6.093738E-05"
"1237660024494752505","25.70852","22.61385","21.15669","20.17282","19.62892","7.442592E-05"
"1237656906346071161","24.90523","23.68735","23.03518","20.58394","19.05735","-0.0001051639"
"1237660024494752027","20.67095","19.74322","19.7456","19.81164","19.9608","-0.0009409008"
"1237656906346004911","21.14153","20.23837","19.80036","19.67142","19.60066","-0.0008104773"
"1237656906345939227","21.87492","20.2371","19.31406","19.00164","18.81603","-0.0002256302"
"1237663542613311702","25.40309","21.7631","20.1867","18.78483","17.9396","6.541931E-05"
"1237660025031622879","19.65971","18.63809","18.30594","18.16814","18.12418","-0.0003751137"
"1237660025031688454","23.55607","20.94677","19.49187","18.10673","17.37089","-0.0001478404"
"1237663543150117476","24.00897","23.28169","21.73553","20.2439","19.39137","-0.0002664546"
"1237663542613246725","22.37884","21.19933","20.54362","20.35784","20.20516","0.0008180477"
"1237663542613180657","24.35897","21.69626","20.14706","18.62086","17.81544","1.752075E-05"
"1237663542613115009","17.5126","16.23718","16.15523","16.0436","16.03209","-0.0004226521"
"1237663478724493682","19.81454","19.4312","19.64351","19.9019","20.25832","-0.0002640757"
"1237663479261233231","16.46909","15.33226","15.14217","15.21628","15.1196","4.22624E-05"
"1237660025031426238","19.03823","19.0876","19.43881","19.77288","19.98916","-0.000563248"
"1237663478724363295","23.24107","21.70786","20.82851","19.69585","18.91723","-0.0001971077"
"1237663543149920393","18.83409","17.6628","17.683","17.76923","17.85326","-0.0005280491"
"1237656906345808259","21.41486","20.34365","19.91962","19.73702","19.81727","0.001749288"
"1237660024494490353","24.29381","22.95526","21.62058","20.50069","19.98194","0.0003949211"
"1237660024494555674","22.94978","21.17879","20.36109","20.11773","20.00096","0.003594043"
"1237663542612984282","22.34944","20.90766","19.94917","19.56963","19.26167","-0.0005296241"
"1237663479261167893","22.23389","20.26837","19.35338","19.01997","18.84378","-0.0001427569"
"1237660025031295389","23.02871","20.98564","20.07529","19.87193","19.55031","-0.0001489599"
"1237663478724297092","20.10617","18.98323","18.86744","18.86268","18.86123","-0.001202109"
"1237660024494359254","22.88661","20.96523","20.25008","19.92911","19.71855","-0.0008708155"
"1237660024494489878","20.51118","19.26435","19.31061","19.38156","19.49105","-0.0007106846"
"1237663542612852850","18.9015","17.93428","17.62631","17.48659","17.43695","-0.0005903263"
"1237656567586488592","20.47922","18.58705","17.84735","17.59198","17.42154","1.975404E-05"
"1237656567586488401","17.50197","16.5053","16.09154","15.92466","15.84173","-0.0005051006"
"1237656567586488531","19.24677","18.07236","18.26546","18.42889","18.51132","-0.0007324692"
"1237663542612787577","23.05294","21.1267","19.53432","18.2972","17.62845","5.902753E-05"
"1237657190901940323","24.49963","24.58827","21.12144","21.12821","20.33821","-0.004019369"
"1237666407365476751","24.74263","22.11832","20.72979","19.20522","18.33219","-0.0001841704"
"1237663783657341033","20.45718","17.70022","16.46799","15.99313","15.7086","-7.781675E-05"
"1237663275776934110","23.44887","21.31527","19.9179","18.65357","17.98709","-1.241334E-05"
"1237656906351837519","24.35169","21.64283","20.01559","18.89765","18.30968","0.0001459624"
"1237656906351641424","25.17411","23.64878","21.2843","20.21661","19.7037","-0.0001573269"
"1237663275777065414","24.09375","22.37641","20.83875","19.0618","18.2071","-3.364619E-05"
"1237663275777065191","23.83084","20.87541","19.3885","18.13178","17.4936","-2.848886E-05"
"1237656906351706299","19.58789","17.17427","16.14172","15.7695","15.58089","-8.864226E-05"
"1237656906351771666","20.87289","22.44792","19.42936","18.33096","19.12479","-0.000867222"
"1237663275776999588","19.46736","17.54543","16.7336","16.42714","16.27758","-0.0001800756"
"1237656906351772148","23.27152","21.25977","19.71898","18.8231","18.29323","-4.096011E-05"
"1237663783120404572","22.31053","19.76077","18.3664","17.66879","17.23707","1.098376E-06"
"1237656906351706310","20.82227","18.35893","17.19065","16.75168","16.52814","-9.424112E-05"
"1237663783120339244","25.09221","21.55354","19.94495","18.80494","18.03938","1.160832E-05"
"1237657190901743850","24.86821","21.18531","19.7194","18.89229","18.53783","6.466898E-05"
"1237663783120273785","24.73905","21.93109","20.33855","19.83197","19.69579","0.0002114523"
"1237657190901678446","23.67052","20.91159","19.64789","19.1386","18.87344","3.97044E-05"
"1237657190901678184","21.34505","18.85036","17.86401","17.49276","17.29781","7.107451E-05"
"1237663783657209877","18.72257","16.93744","16.24082","15.99052","15.8332","3.268593E-05"
"1237657190901744280","24.23207","21.97994","20.57002","18.98925","18.08648","-4.711155E-05"
"1237666407365279794","18.53474","17.11145","16.50965","16.28153","16.17469","-9.934162E-05"
"1237663783120142430","17.54023","16.42068","15.95065","15.74328","15.66651","-0.00071414"
"1237663783657144760","23.34137","21.93371","20.50479","19.15792","18.46076","-4.73123E-05"
"1237663783656947943","22.57566","19.77939","18.31452","17.2954","16.73381","-0.0001011718"
"1237663278461354147","19.67767","18.29277","17.73543","17.52219","17.38585","-0.0001253998"
"1237663278461354233","23.72256","20.46417","18.95867","17.57901","16.79768","1.438864E-05"
"1237663463144947933","19.56227","18.58417","18.26878","18.13339","18.0971","-9.527209E-05"
"1237663462608142510","21.22408","18.76001","17.39924","16.81402","16.48426","-0.0006316388"
"1237663462607945974","22.70728","20.71172","19.27875","18.58747","18.22906","-5.343373E-05"
"1237663278461223170","23.60292","21.70342","20.17813","18.36089","17.35327","-5.851601E-05"
"1237663462607880261","21.08853","19.81164","19.25162","19.03082","19.01975","-7.177517E-05"
"1237663462607945757","18.28689","16.81614","16.31738","16.13694","16.04496","-0.0001088312"
"1237663278461419616","23.8217","21.49489","19.81337","18.08805","17.20865","8.326479E-05"
"1237663462608142527","22.02718","19.79013","18.67011","18.23405","18.00896","-0.0001262497"
"1237663277924352147","19.8151","18.71129","18.40805","18.26499","18.26038","-0.0007097742"
"1237663784194015960","23.85657","22.6418","21.43936","20.08358","19.43781","7.920051E-05"
"1237666408438891147","23.49927","21.43097","19.96458","19.00574","18.43298","1.236201E-05"
"1237663277924352060","18.66132","17.37503","16.91298","16.73769","16.67998","-8.223167E-05"
"1237666408438956644","23.85044","21.58228","20.2093","19.01124","18.39017","-8.633442E-05"
"1237663784193884162","17.55487","16.28324","16.29927","17.13255","16.37826","-0.0001745304"
"1237663784193884888","23.85345","22.24051","20.77113","19.17276","18.30589","-6.174238E-05"
"1237657190901809270","21.25333","19.6132","18.77729","18.4987","18.34928","-0.0006897041"
"1237663784193949798","21.73357","19.77891","18.90406","18.54501","18.32105","7.72448E-05"
"1237657190901743726","17.60371","16.58615","16.26741","16.15108","16.09569","-0.0005508855"
"1237663784193818877","22.20413","20.81829","20.25752","20.07414","19.90298","-0.0002341994"
"1237663463145013408","25.63022","20.95851","19.5402","18.91655","18.49041","-0.0001528776"
"1237678617414664357","21.54894","18.8776","17.53725","16.94437","16.61861","-0.0002030075"
"1237663463145078962","26.19678","21.03886","19.60584","18.57941","17.99385","-0.0001264567"
"1237678617414664236","19.22728","18.13031","17.70886","17.54616","17.48865","-0.000357192"
