"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237660024494686312","19.53706","19.33001","19.2611","19.25599","19.04425","0.8631509"
"1237663543150117358","21.22219","20.76472","20.37294","19.87774","19.90864","1.820907"
"1237663478724363112","23.40885","21.40734","20.39849","20.10683","19.86053","3.181853"
"1237656906345677139","21.40169","20.65387","20.22158","19.80401","19.62465","1.861428"
"1237660024494424268","19.83641","19.73237","19.50788","19.42897","19.47734","1.399138"
"1237663542612721855","20.75866","19.99185","19.63901","19.42418","19.40294","1.452734"
"1237678617414664483","20.67034","20.35834","20.12258","19.92637","19.97319","1.439652"
"1237666408439152865","21.66429","20.95371","20.81441","20.35695","19.9626","0.517168"
"1237678437015486792","22.81391","21.57894","21.46246","21.35011","20.66885","0.8642989"
"1237657066329866391","21.00318","20.3226","20.02402","19.86111","19.69839","2.169735"
"1237679435063296398","25.1161","21.76757","21.53303","21.56257","21.43496","1.056121"
"1237679433989423320","20.8945","20.24738","20.14339","20.07338","19.7326","2.633005"
"1237679434526294224","21.45422","21.00241","20.83045","20.84368","20.70802","2.158955"
"1237679434526163156","21.20845","20.59467","20.1918","19.52707","19.23789","0.569351"
"1237679434526228692","23.04825","21.79162","21.33832","20.77723","20.11932","2.303402"
"1237679434526163044","20.37808","19.98749","19.56071","19.59444","19.67321","1.171885"
"1237679434526163358","24.58459","21.93166","21.67268","21.64859","21.91867","1.548879"
"1237679434526097579","19.92981","19.40208","19.33845","19.28604","19.13369","2.262471"
"1237679435063033934","19.03426","18.59837","18.42413","18.38595","18.25438","0.7267431"
"1237669698911994435","22.0914","21.16051","20.88091","20.57444","20.13054","1.971785"
"1237669698912059980","23.1717","22.07185","21.82992","21.75412","21.49159","2.217262"
"1237669698912059728","22.15781","21.70051","21.50171","21.42767","20.94467","2.005527"
"1237669762262433859","21.21101","20.72724","20.19002","20.20614","20.28692","1.098842"
"1237669762799239570","21.80875","21.12767","20.97559","20.66536","20.34744","2.274631"
"1237669698911928818","21.40133","20.81794","20.27429","19.94399","19.63844","2.060062"
"1237669698911929082","23.09326","21.81171","21.78285","21.41368","21.76679","1.767433"
"1237669762799042836","22.12889","21.23621","21.00239","20.94703","20.71135","2.448458"
"1237669762799108479","21.69283","21.01078","20.71918","20.71749","20.74569","1.383174"
"1237669762799108320","19.92062","19.13184","18.93431","18.86861","18.74673","2.579856"
"1237669698374927051","22.43265","21.95703","21.67282","21.69246","21.40127","2.60252"
"1237669763872850601","22.23364","21.99838","20.77195","19.83623","19.67395","0.6029713"
"1237669763335913633","20.39364","19.84003","19.59377","19.42483","19.14339","2.199704"
"1237669698374860847","20.16324","19.41725","19.08786","18.86124","18.49751","2.490113"
"1237679008243122465","22.89576","21.05332","20.62014","20.36448","20.29499","2.77093"
"1237667782296863277","22.68437","20.48938","20.11246","20.05868","20.04738","2.842661"
"1237667735044686247","20.93545","20.39762","20.26085","20.1773","19.97031","2.264021"
"1237667781223186485","19.51334","19.47085","19.28367","18.92775","18.59795","2.049472"
"1237667781760057433","19.21641","19.10327","18.89939","18.90489","18.96363","1.137311"
"1237667782297059801","22.27692","21.78322","21.66727","21.74537","21.41951","1.537782"
"1237667734508077246","22.13179","21.61465","21.55395","21.6829","21.60996","1.780702"
"1237667733971075232","19.68351","19.13688","18.97546","18.83979","18.60675","2.19652"
"1237667781760188529","20.18987","19.70199","19.61162","19.69614","19.59728","2.188157"
"1237667733971141040","22.28743","21.93176","21.81978","21.9687","21.3416","0.3710844"
"1237667781223317854","23.46467","21.82511","21.97146","21.89149","21.2989","1.057545"
"1237667733971272024","21.22441","20.39324","20.16174","20.09435","19.78898","2.537941"
"1237667781223448989","24.20234","21.437","21.11604","21.3715","21.15707","3.00406"
"1237667781223383291","20.77282","20.1586","19.9785","19.95298","19.96948","2.604818"
"1237667782297780580","21.47858","21.01105","20.75546","20.68701","20.22619","0.919263"
"1237667782297780494","19.22505","19.24581","19.22122","18.90971","18.76997","1.955841"
"1237667782297715504","22.47292","21.5614","21.48037","21.43925","21.46536","1.333251"
"1237667782297715091","21.74443","21.04145","19.92077","19.28304","18.72309","2.126276"
"1237667782834586105","24.90975","21.53838","21.33987","21.38548","21.04095","3.011387"
"1237667735045538485","21.43831","20.1322","18.83187","18.42118","17.85701","0.377339"
"1237657628449702267","22.83677","21.85104","21.55986","21.14033","21.33415","3.095063"
"1237657856068616322","20.35237","20.02691","19.91698","19.6722","19.87805","1.511518"
"1237657856068616335","20.33703","20.14064","19.88795","19.94259","19.84058","0.9942142"
"1237657628449702118","21.46323","20.87937","20.8117","20.69657","20.54845","2.406655"
"1237657627912634650","22.3218","22.08324","21.0652","20.00916","19.51288","5.366827"
"1237658206116184354","21.52735","21.04518","20.69773","20.59199","20.09834","1.158025"
"1237657628449570980","19.49252","19.45516","19.43737","19.19597","19.13949","1.828525"
"1237657628449636590","20.85233","20.51323","20.33878","20.07785","20.09745","1.692205"
"1237657628449636980","22.82716","21.68485","20.39586","19.39496","19.16453","0.4773179"
"1237657856068551217","22.71629","21.24925","20.38961","19.97221","19.56975","0.7355359"
"1237657856068485784","22.35325","20.78872","20.63172","20.82904","20.70874","2.808097"
"1237657856068550806","20.54677","20.06756","20.08693","20.03861","19.83507","0.7377597"
"1237657856068354155","20.16353","20.18071","19.75689","19.65764","19.74712","1.233044"
"1237657628449570960","22.11563","19.33676","18.46427","18.32178","18.2544","3.541689"
"1237657628986376871","25.23504","20.63256","19.92852","19.6814","19.64067","3.424835"
"1237657628986311368","23.83979","21.18338","20.73127","20.65233","20.56326","3.050338"
"1237657857142227055","20.58659","20.1274","19.95166","19.68738","19.53377","0.4335306"
"1237657629523312890","24.49906","21.84232","21.57633","21.56384","21.44494","2.986853"
"1237657629523313193","22.33324","22.00157","21.98486","21.83696","21.75882","2.218546"
"1237657856605290744","19.93898","19.76998","19.49822","19.55721","19.71463","1.061448"
"1237657629523378749","26.15892","21.20974","20.2242","20.17211","20.3995","3.731846"
"1237657856605421785","19.69196","19.48641","19.46418","19.29237","19.26792","1.96212"
"1237657628986442379","25.55021","21.67638","20.53509","20.02779","19.49916","3.433604"
"1237657628986507924","25.45395","21.8039","21.42866","21.2783","20.87674","3.201026"
"1237657630060183835","21.33261","20.93674","21.02096","20.94142","20.64049","2.220095"
"1237657857142358293","21.89497","21.5736","21.52365","21.45175","20.67999","2.317149"
"1237657857142292650","19.82985","19.72273","19.67773","19.51597","19.36482","1.982167"
"1237657857142292665","20.34169","19.9168","19.69809","19.30609","19.31383","1.768461"
"1237657629523443735","18.9056","18.82533","18.70155","18.52545","18.38379","2.009546"
"1237657629523509360","20.15842","19.76565","19.46127","19.44943","19.38972","1.229043"
"1237657856605487356","20.89279","20.55404","20.54931","20.3746","20.31242","1.568228"
"1237657856605552740","20.3813","20.04642","19.59591","19.49815","19.48346","1.108759"
"1237657856605552835","22.01559","21.22147","20.75283","20.53774","20.26472","0.9441878"
"1237657856605487352","22.03851","21.49794","21.50286","21.38533","21.22414","1.884243"
"1237657628986572992","21.56766","20.60548","20.49925","20.42253","20.33496","2.701827"
"1237651504345776377","19.66637","19.52945","19.50077","19.24576","19.23489","1.793982"
"1237648704051347479","19.41232","19.41719","19.11925","18.71328","18.54144","1.983188"
"1237648704051085343","19.37156","19.27102","19.04718","19.01758","19.04919","1.353717"
"1237648704051216464","16.93926","16.79523","16.68399","16.51521","16.5112","1.512352"
"1237648704051085479","20.20358","19.9654","19.86725","19.59775","19.55421","1.669696"
"1237648722317148191","19.19305","18.77829","18.61997","18.32638","18.37961","1.624181"
"1237674601603793193","21.4777","21.03263","20.21138","19.79255","19.34621","0.3650836"
"1237651224635637893","18.71507","18.33125","18.32518","18.15801","18.17663","0.5215464"
"1237651225172443488","19.68002","17.52376","17.37804","17.44544","17.24755","2.998992"
"1237651225172639801","18.33405","18.12543","17.92692","17.87398","17.41733","0.3601637"
"1237651212287541290","19.2753","18.81125","18.3671","18.20687","18.16414","1.250724"
"1237651225709314314","19.31184","19.02306","19.07212","18.84954","18.70475","0.5515799"
"1237663782603391061","20.83949","20.54609","20.45857","20.15427","20.24978","1.589784"
"1237654392180769248","20.23647","20.24755","20.35328","20.10409","19.86122","1.863515"
"1237651190818734221","19.59762","19.44909","19.26003","19.2368","19.40933","1.187794"
"1237651252558364848","19.68612","19.40421","19.03723","19.03848","18.86826","1.012915"
"1237651252021756166","19.79017","19.31879","19.20341","18.87806","18.86441","0.5308145"
"1237651271885914285","19.38923","19.33731","19.1348","19.16445","19.2314","1.371355"
"1237651271885979902","19.70601","19.40392","19.1957","19.10205","19.15482","1.157106"
"1237651271886373166","19.41509","19.18784","19.00973","19.05231","19.0963","0.9276423"
"1237651272422850686","19.30153","19.25852","19.15836","18.83112","18.78043","1.732597"
"1237651252557840559","18.83499","18.61351","18.38133","18.31531","18.2901","1.368332"
"1237651495223623822","19.47721","19.43463","19.3413","19.06697","19.00451","1.906228"
"1237651272422850728","19.57067","19.62143","19.5372","19.22956","19.06651","1.862055"
"1237651537642193009","19.00035","18.99673","18.80233","18.78288","18.85771","1.149133"
"1237651272440807555","19.22753","18.99317","18.85245","18.87433","18.85897","0.9956667"
"1237651538178801711","18.66768","18.35862","18.405","18.07848","17.6945","0.4378229"
"1237651538178801722","19.05015","18.72831","18.49887","18.41642","18.31762","0.9998539"
"1237651538178932862","19.41726","19.30384","19.10873","19.17165","19.18569","1.161696"
"1237651272440807590","20.32445","20.15621","19.92912","19.73197","19.65412","1.471601"
"1237651271904067877","20.31962","20.34774","20.42036","20.08648","19.88565","1.880879"
"1237651271904002405","20.44942","20.44138","20.35824","20.28791","20.30143","1.456898"
"1237651271904002271","19.73241","19.45668","19.32869","19.35078","19.2865","0.945049"
"1237651538178801913","20.24142","20.37525","20.41024","20.29862","19.99137","2.011369"
"1237651538178670788","19.40996","18.92364","18.87524","18.64707","18.68904","0.6027519"
"1237651271367000210","19.5642","19.3722","19.22944","18.97982","18.9552","1.521669"
"1237651538178539820","20.21848","20.34816","20.39144","20.19596","20.09356","2.061601"
"1237651272440545400","19.4833","19.30898","19.25332","19.25595","19.07543","0.7508595"
"1237651272440545533","20.42633","20.20691","20.13923","19.95267","19.74168","1.948179"
"1237651271903739925","19.04231","18.69375","18.63404","18.65955","18.47485","0.7591346"
"1237651273514287218","20.02324","19.91852","19.95989","19.73271","19.93452","1.729159"
